Series Name,Bibliographic ID Label,Bibliographic ID,Other Identifier Type,Other Identifier,Title,Creator,Contributor,Genre,Publisher,Date Created,Date Issued,Abstract,Language,Physical Description,Related Item Label,Related Item URL,Topical Subject,Geographic Subject,Temporal Subject,Terms of Use,Table of Contents,Note Type,Note,Note Type,Note,Publish,Hidden,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,Label,Offset,Skip Transcoding,Absolute Location
Evening At Pops,,,video recording identifier,231648,Manhattan Transfer,,,Performance for a Live Audience,,,,"Orchestral performance of movie music. Songs performed include ""There's No Business Like Show Business,"" ""When You Wish Upon A Star,"" ""Moon River,"" and ""Somewhere Over The Rainbow.""",,,,,"Music, Performing Arts",,,,,local,Original recording,general,Performance for a Live Audience,,,barcode231648_01.wav,barcode231648_02.wav,barcode231648_03.wav,barcode231648_04.wav,barcode231648_05.wav,barcode231648_06.wav,barcode231648_07.wav,barcode231648_08.wav,barcode231648_09.wav,barcode231648_10.wav,barcode231648_11.wav,barcode231648_12.wav,barcode231648_13.wav,barcode231648_14.wav,barcode231648_15.wav,barcode231648_16.wav,barcode231648_17.wav,barcode231648_18.wav,barcode231648_19.wav,barcode231648_20.wav,barcode231648_21.wav,barcode231648_22.wav,barcode231648_23.wav,barcode231648_24.wav,barcode231648_25.wav,barcode231648_26.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evening At Pops,,,video recording identifier,231653,Manhattan Transfer,,,Recorded Music,,,,TV #2 BACKUP RL #2,,,,,,,,,,local,Original recording,general,Recorded Music,,,barcode231653_01.wav,barcode231653_02.wav,barcode231653_03.wav,barcode231653_04.wav,barcode231653_05.wav,barcode231653_06.wav,barcode231653_07.wav,barcode231653_08.wav,barcode231653_09.wav,barcode231653_10.wav,barcode231653_11.wav,barcode231653_12.wav,barcode231653_13.wav,barcode231653_14.wav,barcode231653_15.wav,barcode231653_16.wav,barcode231653_17.wav,barcode231653_18.wav,barcode231653_19.wav,barcode231653_20.wav,barcode231653_21.wav,barcode231653_22.wav,barcode231653_23.wav,barcode231653_24.wav,barcode231653_25.wav,barcode231653_26.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evening At Pops,,,video recording identifier,231654,Manhattan Transfer,,,Recorded Music,,,,TV 2 LINE RL 1 -FESTIVE OV,,,,,Music,,,,,local,Original recording,general,Recorded Music,,,barcode231654_01_a.wav,barcode231654_02_a.wav,barcode231654_03_a.wav,barcode231654_04_a.wav,barcode231654_05_a.wav,barcode231654_06_a.wav,barcode231654_07_a.wav,barcode231654_08_a.wav,barcode231654_09_a.wav,barcode231654_10_a.wav,barcode231654_11_a.wav,barcode231654_12_a.wav,barcode231654_13_a.wav,barcode231654_14_a.wav,barcode231654_15_a.wav,barcode231654_16_a.wav,barcode231654_17_a.wav,barcode231654_18_a.wav,barcode231654_19_a.wav,barcode231654_20_a.wav,barcode231654_21_a.wav,barcode231654_22_a.wav,barcode231654_23_a.wav,barcode231654_24_a.wav,barcode231654_25_a.wav,barcode231654_26_a.wav,barcode231654_01_b.wav,barcode231654_02_b.wav,barcode231654_03_b.wav,barcode231654_04_b.wav,barcode231654_05_b.wav,barcode231654_06_b.wav,barcode231654_07_b.wav,barcode231654_08_b.wav,barcode231654_09_b.wav,barcode231654_10_b.wav,barcode231654_11_b.wav,barcode231654_12_b.wav,barcode231654_13_b.wav,barcode231654_14_b.wav,barcode231654_15_b.wav,barcode231654_16_b.wav,barcode231654_17_b.wav,barcode231654_18_b.wav,barcode231654_19_b.wav,barcode231654_20_b.wav,barcode231654_21_b.wav,barcode231654_22_b.wav,barcode231654_23_b.wav,barcode231654_24_b.wav,barcode231654_25_b.wav,barcode231654_26_b.wav,barcode231654_01_c.wav,barcode231654_02_c.wav,barcode231654_03_c.wav,barcode231654_04_c.wav,barcode231654_05_c.wav,barcode231654_06_c.wav,barcode231654_07_c.wav,barcode231654_08_c.wav,barcode231654_09_c.wav,barcode231654_10_c.wav,barcode231654_11_c.wav,barcode231654_12_c.wav,barcode231654_13_c.wav,barcode231654_14_c.wav,barcode231654_15_c.wav,barcode231654_16_c.wav,barcode231654_17_c.wav,barcode231654_18_c.wav,barcode231654_19_c.wav,barcode231654_20_c.wav,barcode231654_21_c.wav,barcode231654_22_c.wav,barcode231654_23_c.wav,barcode231654_24_c.wav,barcode231654_25_c.wav,barcode231654_26_c.wav,barcode231654_01_d.wav,barcode231654_02_d.wav,barcode231654_03_d.wav,barcode231654_04_d.wav,barcode231654_05_d.wav,barcode231654_06_d.wav,barcode231654_07_d.wav,barcode231654_08_d.wav,barcode231654_09_d.wav,barcode231654_10_d.wav,barcode231654_11_d.wav,barcode231654_12_d.wav,barcode231654_13_d.wav,barcode231654_14_d.wav,barcode231654_15_d.wav,barcode231654_16_d.wav,barcode231654_17_d.wav,barcode231654_18_d.wav,barcode231654_19_d.wav,barcode231654_20_d.wav,barcode231654_21_d.wav,barcode231654_22_d.wav,barcode231654_23_d.wav,barcode231654_24_d.wav,barcode231654_25_d.wav,barcode231654_26_d.wav,,,,
Evening At Pops,,,video recording identifier,231806,"Peter, Paul And Mary",,,,,,,D,,,,,,,,,,local,Original recording,general,,,,barcode231806_01_a.wav,barcode231806_02_a.wav,barcode231806_03_a.wav,barcode231806_04_a.wav,barcode231806_05_a.wav,barcode231806_06_a.wav,barcode231806_07_a.wav,barcode231806_08_a.wav,barcode231806_09_a.wav,barcode231806_10_a.wav,barcode231806_11_a.wav,barcode231806_12_a.wav,barcode231806_13_a.wav,barcode231806_14_a.wav,barcode231806_15_a.wav,barcode231806_16_a.wav,barcode231806_17_a.wav,barcode231806_18_a.wav,barcode231806_19_a.wav,barcode231806_20_a.wav,barcode231806_21_a.wav,barcode231806_22_a.wav,barcode231806_23_a.wav,barcode231806_24_a.wav,barcode231806_25_a.wav,barcode231806_26_a.wav,barcode231806_01_b.wav,barcode231806_02_b.wav,barcode231806_03_b.wav,barcode231806_04_b.wav,barcode231806_05_b.wav,barcode231806_06_b.wav,barcode231806_07_b.wav,barcode231806_08_b.wav,barcode231806_09_b.wav,barcode231806_10_b.wav,barcode231806_11_b.wav,barcode231806_12_b.wav,barcode231806_13_b.wav,barcode231806_14_b.wav,barcode231806_15_b.wav,barcode231806_16_b.wav,barcode231806_17_b.wav,barcode231806_18_b.wav,barcode231806_19_b.wav,barcode231806_20_b.wav,barcode231806_21_b.wav,barcode231806_22_b.wav,barcode231806_23_b.wav,barcode231806_24_b.wav,barcode231806_25_b.wav,barcode231806_26_b.wav,barcode231806_01_c.wav,barcode231806_02_c.wav,barcode231806_03_c.wav,barcode231806_04_c.wav,barcode231806_05_c.wav,barcode231806_06_c.wav,barcode231806_07_c.wav,barcode231806_08_c.wav,barcode231806_09_c.wav,barcode231806_10_c.wav,barcode231806_11_c.wav,barcode231806_12_c.wav,barcode231806_13_c.wav,barcode231806_14_c.wav,barcode231806_15_c.wav,barcode231806_16_c.wav,barcode231806_17_c.wav,barcode231806_18_c.wav,barcode231806_19_c.wav,barcode231806_20_c.wav,barcode231806_21_c.wav,barcode231806_22_c.wav,barcode231806_23_c.wav,barcode231806_24_c.wav,barcode231806_25_c.wav,barcode231806_26_c.wav,barcode231806_01_d.wav,barcode231806_02_d.wav,barcode231806_03_d.wav,barcode231806_04_d.wav,barcode231806_05_d.wav,barcode231806_06_d.wav,barcode231806_07_d.wav,barcode231806_08_d.wav,barcode231806_09_d.wav,barcode231806_10_d.wav,barcode231806_11_d.wav,barcode231806_12_d.wav,barcode231806_13_d.wav,barcode231806_14_d.wav,barcode231806_15_d.wav,barcode231806_16_d.wav,barcode231806_17_d.wav,barcode231806_18_d.wav,barcode231806_19_d.wav,barcode231806_20_d.wav,barcode231806_21_d.wav,barcode231806_22_d.wav,barcode231806_23_d.wav,barcode231806_24_d.wav,barcode231806_25_d.wav,barcode231806_26_d.wav,,,,
FRONTLINE,,,video recording identifier,167706,Behind the Mask: The IRA and Sinn Fein,,,,,,1997-10-21,IRA - replacement section - 2:16:40,,,,,,,,,,local,Audio Master (full mix),general,,,,barcode167706_01.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOVA,,,video recording identifier,181822,Shark Attack! (Sharks),,,,,,1996-11-19,,,,,,,,,,,local,Green Label Master (WGBH program),general,,,,barcode181822.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOVA,,,video recording identifier,181821,Titanic's Lost Sister (Britannic),,,,,,1997-01-28,,,,,,,,,,,local,Green Label Master (WGBH program),general,,,,barcode181821.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"World, The",,,video recording identifier,174430,"World, The (General Series)",,,,,,1998-06-05,"6/5/1998
 3 PM AIRTIME",,,,,,,,,,local,Radio program (Master),general,,,,barcode174430_01.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"French Chef, The",,,video recording identifier,157979,THE FRENCH CHEF,,,,,,,"Audio reel from early French Chef program. Contains eight minute cooking segment and two “same endings”. Material undated. Transfer of material made 8/1/ 98, Transfer #2.",,,,,,,,,,local,Audio dub,general,,,,barcode157979_01.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"French Chef, The",,,video recording identifier,110788,THE FRENCH CHEF,,,,,,,"Music reel from French Chef program. “Original B & W Theme I”. Material undated. Transfer of material made 8/1/ 98, Transfer #3.",,,,,,,,,,local,Music,general,,,,barcode110788_01.wav,barcode110788_02.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"French Chef, The",,,video recording identifier,134146,THE FRENCH CHEF,,,,,,,"Music reel from French Chef program. “Original B & W 1st Theme ”, “Ruth’s Copy”. Material undated. Transfer of material made 8/1/ 98, Transfer #4.",,,,,,,,,,local,Music,general,,,,barcode134146_01.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WGBH Archives Historical Collection,,,video recording identifier,157986,WGBH ARCHIVES HISTORICAL COLLECTION (GENERAL),,,,,,1961-10-14,"Donald Quayle: “Statement immediately after sign-on”. 10/14/1961. Transfer of material made 8/1/ 98, Transfer #5.",,,,,,,,,,local,Audio dub,general,,,,barcode157986_01.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WGBH Archives Historical Collection,,,video recording identifier,157989,WGBH ARCHIVES HISTORICAL COLLECTION (GENERAL),,,,,,,"“Old FM Promo Carts/’GBH.” Original material undated. Transfer of material made 8/1/ 98, Transfer #6.",,,,,,,,,,local,Audio dub,general,,,,barcode157989_01.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WGBH Archives Historical Collection,,,video recording identifier,157992,WGBH ARCHIVES HISTORICAL COLLECTION (GENERAL),,,,,,1967-02-03,"“ Lowell Institute 20th Anniversary.” Ivor A. Richards reads from Plato’s Republic recreating first Lowell Institute broadcast of 2/3/1947. Original material dated 2/3/1967. Transfer of material made 8/1/ 98, Transfer #7.",,,,,,,,,,local,Audio dub,general,,,,barcode157992_01.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WGBH Archives Historical Collection,,,video recording identifier,157995,WGBH ARCHIVES HISTORICAL COLLECTION (GENERAL),,,,,,1963-04-26,"Fundraising Dinner /Program-4/26/1963. “Voices: T. F. Conley, BC, Lyons, Leverett Saltonstall, Pres. Kennedy on Cuba Crisis, Dean Rusk, Adlai Stevenson (?) of Security Council, G. Wllace Woodworth, JFK at BU convocation, Robert Frost, Fund Pitch. WWP at BSO.” Transfer of material made 8/1/ 98, Transfer #8.",,,,,,,,,,local,Audio dub,general,,,,barcode157995_01.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"French Chef, The",,,video recording identifier,134145,THE FRENCH CHEF,,,,,,,"“French Chef Theme Audition Copy-Not for air. Piano only version of French Chef theme with other interesting auditions.” Transfer of material made 8/2/ 98, Transfer #11.",,,,,,,,,,local,Music,general,,,,barcode134145_01.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WGBH Archives Historical Collection,,,video recording identifier,158007,WGBH ARCHIVES HISTORICAL COLLECTION (GENERAL),,,,,,1905-05-14,"“Station History (announce tape from fire week).” Original material taped 10/1961, dubbed 1/1980. Transfer of material made 8/2/ 98, Transfer #12.",,,,,,,,,,local,Audio dub,general,,,,barcode158007_01.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note To You, A",,,video recording identifier,37938,"Appassionata Sonata, The",,,,,,1998-02-08,"9701
 Note: DAT cassette is contained in “5 inch reel” box",,,,,,,,,,local,Radio program (Master),general,,,,barcode37938_01.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note To You, A",,,video recording identifier,37939,"Music Shelf, The",,,,,,,"9702
 Note: DAT cassette is contained in “5 inch reel” box",,,,,,,,,,local,Radio program (Master),general,,,,barcode37939_01.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note To You, A",,,video recording identifier,37940,Great Program Music: Romeo And Juliet,,,,,,1996-12-21,"9703
 Note: DAT cassette is contained in “5 inch reel” box",,,,,,,,,,local,Radio program (Master),general,,,,barcode37940_01.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note To You, A",,,video recording identifier,37941,Mozart Sings,,,,,,1996-12-11,"9704
 Note: DAT cassette is contained in “5 inch reel” box",,,,,,,,,,local,Radio program (Master),general,,,,barcode37941_01.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,video recording identifier,285460,,,,,,,,24 track master,,,,,,,,,,local,Audio Master (full mix),general,,,,barcode285460_01.wav,barcode285460_02.wav,barcode285460_03.wav,barcode285460_04.wav,barcode285460_05.wav,barcode285460_06.wav,barcode285460_07.wav,barcode285460_08.wav,barcode285460_09.wav,barcode285460_10.wav,barcode285460_11.wav,barcode285460_12.wav,barcode285460_13.wav,barcode285460_14.wav,barcode285460_15.wav,barcode285460_16.wav,barcode285460_17.wav,barcode285460_18.wav,barcode285460_19.wav,barcode285460_20.wav,barcode285460_21.wav,barcode285460_22.wav,barcode285460_23.wav,barcode285460_24.wav,barcode285460_25.wav,barcode285460_26.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,video recording identifier,183415,Introduction To Owen Wingrave,,,,,,1905-05-24,"Container Notes: Issue 22-71; John Amis; background hiss. may be broadcast twice prior to 9.30.1971 and not thereafter, pls. return tape. Use as is or in conjunction with Opera Owen Wingrave",,,,,,,,,,local,Radio program (Master),general,,,,barcode183415_01.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Et Cetera,,,video recording identifier,183414,Bringing It All Back Home,,,,,,,"Fred Barzyk, documentary about Bob Dylan's move from acoustic to electric - Bringing it All Back Home",,,,,,,,,,local,Radio program (Master),general,,,,barcode183414_01.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,video recording identifier,183413,La Boheme,,,,,,,"Reel 2 of 5, MONO",,,,,,,,,,local,Original recording,general,,,,barcode183413_01.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,video recording identifier,183412,La Boheme,,,,,,,Reel 3 of 5; Story of 3rd act of La Boheme; Nicholas Kasindis as Marcello; Elizabeth Feeney as Mimi; Rene Rencourt as Rudolph; Julia Shelley as Musette. MONO,,,,,,,,,,local,Original recording,general,,,,barcode183412_01.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,video recording identifier,183411,La Boheme,,,,,,,"Reel 4 of 5, MONO",,,,,,,,,,local,Original recording,general,,,,barcode183411_01.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,video recording identifier,183410,Tribute To Malvina Reynolds,,,,,,,songwriter,,,,,,,,,,local,Radio program (Master),general,,,,barcode183410_01.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,video recording identifier,183409,Adlai Stevenson: Us Vietnam Policy,,,,,,,Indian Press review; correspondence included; 1. Reaction to U.S. actions in Santo Domingo; 2. Israeli-Arab relations discussed; 3. 20th anniversary of the fall of Nazi Germany; 4. Brief press editorials,,,,,,,,,,local,Audio dub,general,,,,barcode183409_01.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Plaza,,,video recording identifier,192878,Who's Cleaning Boston,,,,,,1990-01-06,• LA PLAZA - WHO'S CLEANING BOSTON #15,,,,,,,,,,local,Original footage,general,,,,barcode192878.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Plaza,,,video recording identifier,192879,Who's Cleaning Boston,,,,,,1990-01-06,LA PLAZA - WHO'S CLEANING BOSTON #16,,,,,,,,,,local,Original footage,general,,,,barcode192879.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science Journal,,,video recording identifier,150542,,,,,,,,Science Journal: Pilot 89-897-022-001,,,,,,,,,,local,Radio program (Master),general,,,,barcode150542_01.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
